date,month,city,available bikes,season,weather condition,temperature (degree C),trips per bike,total bike trips,number of users,registered users (%),occasional_users (%),tot bike trip duration (min),day income (euros),customer satisfaction,new day subscriptions
2020-01-01,1,Paris,190,winter,light rain,7.56,18,1230,968,48.3,51.7,21357.4,8613.9,6.47,6
2020-01-01,1,Milan,191,winter,clear,3.88,11,2112,1848,48.5,51.5,23517.1,9476.9,5.27,4
2020-01-01,1,Madrid,186,winter,cloudy,8.47,36,5062,4121,54.7,45.3,79285.9,30969.1,6.05,6
2020-01-01,1,Berlin,193,winter,cloudy,11.4,34,5040,3962,48.1,51.9,88597.3,35768.2,6.27,-5
2020-01-01,1,London,195,winter,clear,-2.57,10,1990,1448,55.2,44.8,44606.7,17379.1,6.5,6
2020-01-02,1,Paris,192,winter,clear,11.63,46,8460,7579,46.4,53.6,46960.6,19124.4,5.84,-7
2020-01-02,1,Milan,189,winter,cloudy,1.13,20,2975,2283,48.4,51.6,55644.3,22430.9,5.11,7
2020-01-02,1,Madrid,192,winter,heavy rain,14.72,58,1684,1375,48.5,51.5,46607.0,18779.8,5.37,-3
2020-01-02,1,Berlin,195,winter,light rain,-3.3,5,379,324,48.7,51.3,8206.7,3303.9,5.18,2
2020-01-02,1,London,190,winter,light rain,3.69,12,799,669,46.0,54.0,5819.7,2374.1,6.13,-7
2020-01-03,1,Paris,190,winter,heavy rain,3.87,27,782,618,53.5,46.5,6936.0,2726.2,5.82,7
2020-01-03,1,Milan,185,winter,cloudy,14.41,47,6596,4994,49.0,51.0,63373.1,25481.2,5.11,-6
2020-01-03,1,Madrid,190,winter,heavy rain,7.38,39,1140,985,50.0,50.0,25803.8,10319.3,6.07,2
2020-01-03,1,Berlin,199,winter,clear,0.2,1,189,146,47.8,52.2,2784.1,1125.6,6.42,-7
2020-01-03,1,London,189,winter,clear,-7.09,1,180,150,47.5,52.5,2534.7,1026.4,5.79,5
2020-01-04,1,Paris,198,winter,cloudy,4.29,12,1802,1491,52.9,47.1,47985.4,18918.7,5.9,6
2020-01-04,1,Milan,193,winter,heavy rain,-0.41,1,29,20,48.6,51.4,147.4,59.4,7.13,6
2020-01-04,1,Madrid,188,winter,light rain,13.55,41,2714,1999,53.5,46.5,32884.5,12924.7,6.32,-3
2020-01-04,1,Berlin,198,winter,heavy rain,-4.52,1,29,21,49.8,50.2,566.0,226.6,6.92,3
2020-01-04,1,London,190,winter,cloudy,5.79,15,2156,1745,51.1,48.9,51237.0,20384.1,7.26,-4
2020-01-05,1,Paris,195,winter,heavy rain,1.91,1,29,22,51.6,48.4,935.0,371.0,7.24,5
2020-01-05,1,Milan,188,winter,light rain,16.93,55,3688,2888,50.0,50.0,63727.3,25495.3,6.14,5
2020-01-05,1,Madrid,188,winter,heavy rain,16.0,31,878,668,49.8,50.2,17257.5,6909.6,5.41,6
2020-01-05,1,Berlin,191,winter,cloudy,0.21,18,2706,2188,55.8,44.2,18812.6,7305.1,4.78,-4
2020-01-05,1,London,181,winter,light rain,0.05,7,472,400,46.3,53.7,6189.6,2521.1,5.1,4
2020-01-06,1,Paris,191,winter,clear,0.57,25,4666,3548,49.5,50.5,29897.5,11987.3,6.06,5
2020-01-06,1,Milan,199,winter,light rain,4.19,1,69,57,47.6,52.4,1779.7,720.4,5.85,8
2020-01-06,1,Madrid,187,winter,light rain,10.0,30,1993,1578,54.5,45.5,14290.5,5587.1,5.53,4
2020-01-06,1,Berlin,189,winter,heavy rain,-1.01,1,28,23,46.4,53.6,212.4,86.5,5.22,11
2020-01-06,1,London,183,winter,light rain,-7.92,1,64,51,49.7,50.3,1247.8,499.9,6.84,3
2020-01-07,1,Paris,184,winter,light rain,8.98,31,2009,1621,53.7,46.3,66259.1,26018.6,7.17,4
2020-01-07,1,Milan,190,winter,light rain,6.63,36,2417,1965,47.8,52.2,14603.3,5904.5,5.98,2
2020-01-07,1,Madrid,188,winter,clear,6.77,22,3976,3467,51.6,48.4,60367.1,23958.7,6.01,3
2020-01-07,1,Berlin,197,winter,light rain,6.23,32,2275,2013,49.3,50.7,33194.8,13324.0,6.66,4
2020-01-07,1,London,189,winter,cloudy,5.11,8,1139,917,53.7,46.3,25959.7,10191.3,6.08,-7
2020-01-08,1,Paris,189,winter,light rain,1.25,14,956,703,51.1,48.9,11349.3,4513.8,4.92,-5
2020-01-08,1,Milan,184,winter,clear,9.58,21,3768,3055,50.2,49.8,15799.9,6312.9,6.86,7
2020-01-08,1,Madrid,192,winter,light rain,23.52,77,5228,4255,47.8,52.2,118744.6,48023.2,5.9,7
2020-01-08,1,Berlin,186,winter,cloudy,0.98,7,1057,926,47.8,52.2,8162.9,3301.4,5.92,6
2020-01-08,1,London,184,winter,heavy rain,4.36,17,495,378,51.2,48.8,7550.7,3001.5,5.25,2
2020-01-09,1,Paris,194,winter,heavy rain,-7.74,1,29,24,48.0,52.0,466.1,188.3,6.03,3
2020-01-09,1,Milan,186,winter,cloudy,5.2,16,2249,1852,49.2,50.8,12128.3,4870.3,4.96,-8
2020-01-09,1,Madrid,189,winter,clear,10.68,45,8139,6486,52.2,47.8,193978.4,76721.3,6.5,6
2020-01-09,1,Berlin,192,winter,heavy rain,10.51,41,1187,972,45.4,54.6,16846.9,6893.3,6.04,2
2020-01-09,1,London,189,winter,light rain,5.33,15,1000,726,50.3,49.7,11907.7,4755.1,5.96,-5
